Frame,FPS
887,261.31
888,224.05
889,300.91
890,273.62
891,253.03
892,294.70
893,295.81
894,268.05
895,308.39
896,253.22
897,281.63
898,298.70
899,259.06
900,255.05
901,309.53
902,275.01
903,253.35
904,231.62
905,285.77
906,300.32
907,302.35
908,258.52
909,302.62
910,279.19
911,282.91
912,101.36
913,58.42
914,289.66
915,266.37
916,236.70
917,291.02
918,283.72
919,291.98
920,256.42
921,278.94
922,282.79
923,256.84
924,266.65
925,272.38
926,278.18
927,279.67
928,284.23
929,268.95
930,276.61
931,291.66
932,284.96
933,285.38
934,271.80
935,321.15
936,253.84
937,286.21
938,306.34
939,273.31
940,289.83
941,251.16
942,281.40
943,251.17
944,235.38
945,242.01
946,230.11
947,292.37
948,291.47
949,268.98
950,289.80
951,278.29
952,290.24
953,332.54
954,268.00
955,258.69
956,261.88
957,340.31
958,294.64
959,291.63
960,334.85
961,289.31
962,314.55
963,340.46
964,230.45
965,277.49
966,306.48
967,332.25
968,291.75
969,293.08
970,314.01
971,312.71
972,290.04
973,284.98
974,298.17
975,298.21
976,336.80
977,282.84
978,289.04
979,309.06
980,328.43
981,327.06
982,340.89
983,342.06
984,342.82
985,333.53
986,345.34
987,323.32
988,323.34
989,325.87
990,334.62
991,308.37
992,352.51
993,322.85
994,322.38
995,363.00
996,351.26
997,326.35
998,340.60
999,321.53
1000,341.05
1001,337.48
1002,325.72
1003,337.71
1004,363.24
1005,333.37
1006,334.81
1007,344.90
1008,333.50
1009,340.68
1010,336.98
1011,340.36
1012,319.09
1013,240.49
1014,314.62
1015,347.28
1016,342.16
1017,345.18
1018,320.24
1019,368.65
1020,295.39
1021,300.27
1022,312.34
1023,318.83
1024,318.21
1025,268.62
1026,101.66
1027,80.55
1028,314.93
1029,266.22
1030,312.03
1031,296.71
1032,297.00
1033,338.49
1034,339.27
1035,336.93
1036,331.63
1037,302.93
1038,336.73
1039,339.64
1040,324.21
1041,290.58
1042,335.95
1043,327.70
1044,246.00
1045,337.45
1046,252.01
1047,230.42
1048,322.70
1049,301.47
1050,294.36
1051,331.02
1052,316.38
1053,309.29
1054,326.26
1055,332.82
1056,339.08
1057,346.42
1058,338.49
1059,329.73
1060,310.09
1061,278.44
1062,243.05
1063,340.40
1064,270.72
1065,294.15
1066,314.16
1067,336.64
1068,329.97
1069,247.42
1070,286.14
1071,282.39
1072,296.91
1073,340.30
1074,285.67
1075,272.46
1076,275.82
1077,263.48
1078,272.56
1079,277.16
1080,264.17
1081,235.62
1082,258.80
1083,309.57
1084,282.06
1085,265.24
1086,249.32
1087,274.76
1088,254.93
1089,255.75
1090,309.67
1091,245.72
1092,271.52
1093,259.69
1094,302.76
1095,278.12
1096,304.94
1097,334.16
1098,296.39
1099,295.40
1100,283.29
1101,304.95
1102,327.04
1103,336.26
1104,354.47
1105,314.22
1106,331.80
1107,301.85
1108,340.97
1109,292.70
1110,331.27
1111,323.40
1112,305.41
1113,353.57
1114,333.71
1115,315.92
1116,268.91
1117,299.72
1118,345.32
1119,342.00
1120,300.31
1121,295.81
1122,292.13
1123,312.79
1124,263.94
1125,302.11
1126,320.47
1127,261.95
1128,289.18
1129,256.07
1130,281.84
1131,285.71
1132,245.36
1133,291.95
1134,275.44
1135,294.45
1136,288.84
1137,284.76
1138,276.11
1139,245.56
1140,238.66
1141,289.24
1142,244.82
1143,259.49
1144,243.38
1145,71.11
1146,76.38
1147,84.36
1148,75.51
1149,79.71
1150,78.41
1151,79.66
1152,82.55
1153,86.48
1154,78.46
1155,79.86
1156,82.56
1157,82.66
1158,79.29
1159,81.91
1160,78.28
1161,82.55
1162,75.17
1163,83.41
1164,50.62
1165,189.67
1166,261.03
1167,277.29
1168,289.56
1169,258.19
1170,258.96
1171,249.77
1172,265.15
1173,256.50
1174,218.09
1175,264.28
1176,313.14
1177,227.81
1178,264.38
1179,282.89
1180,278.20
1181,278.28
1182,237.11
1183,219.79
1184,269.38
1185,269.15
1186,262.04
1187,239.72
1188,229.82
1189,211.86
1190,220.77
1191,234.17
1192,256.79
1193,275.73
1194,283.70
1195,288.84
1196,277.99
1197,290.05
1198,284.79
1199,257.86
1200,245.68
1201,262.83
1202,261.18
1203,251.16
1204,260.82
1205,246.78
1206,255.50
1207,284.22
1208,261.71
1209,262.82
1210,238.65
1211,266.25
1212,291.57
1213,287.23
1214,292.12
1215,255.60
1216,251.64
1217,282.23
1218,292.48
1219,276.73
1220,282.77
1221,248.50
1222,285.18
1223,280.89
1224,266.43
1225,272.67
1226,256.31
1227,277.05
1228,260.33
1229,282.29
1230,276.86
1231,276.95
1232,277.86
1233,264.44
1234,251.94
1235,276.82
1236,279.43
1237,241.63
1238,277.34
1239,280.73
1240,208.35
1241,278.96
1242,271.96
1243,269.35
1244,289.23
1245,293.84
1246,280.51
1247,287.65
1248,218.07
1249,277.93
1250,293.08
1251,271.89
1252,292.45
1253,288.08
1254,287.07
1255,276.81
1256,286.53
1257,287.95
1258,278.63
1259,304.12
1260,287.68
1261,292.94
1262,294.95
1263,286.26
1264,281.89
1265,284.76
1266,281.25
