Frame,FPS
926,349.75
927,421.57
928,454.71
929,444.01
930,446.33
931,430.24
932,417.73
933,405.29
934,435.01
935,403.75
936,437.54
937,402.09
938,426.93
939,428.34
940,414.40
941,434.33
942,440.53
943,409.33
944,430.01
945,394.99
946,407.61
947,416.46
948,417.57
949,433.78
950,428.28
951,412.93
952,429.66
953,410.81
954,404.96
955,371.66
956,399.73
957,354.67
958,415.78
959,377.57
960,376.89
961,322.12
962,314.39
963,363.17
964,376.97
965,377.66
966,378.82
967,380.53
968,320.91
969,337.29
970,274.51
971,342.50
972,364.26
973,369.02
974,370.75
975,374.22
976,353.90
977,264.51
978,367.67
979,355.67
980,370.12
981,334.95
982,367.15
983,367.98
984,221.00
985,282.15
986,313.60
987,363.29
988,254.89
989,307.71
990,359.18
991,326.46
992,246.00
993,341.60
994,374.73
995,329.01
996,330.97
997,269.75
998,358.18
999,334.33
1000,340.11
1001,334.59
1002,241.20
1003,372.87
1004,337.43
1005,340.44
1006,352.72
1007,265.55
1008,355.68
1009,371.91
1010,356.89
1011,352.21
1012,253.43
1013,364.46
1014,358.55
1015,325.53
1016,269.21
1017,359.57
1018,370.10
1019,381.64
1020,240.10
1021,352.60
1022,357.17
1023,420.31
1024,360.93
1025,332.91
1026,411.71
1027,340.52
1028,406.69
1029,370.84
1030,302.31
1031,399.89
1032,346.90
1033,383.82
1034,403.03
1035,424.27
1036,414.34
1037,446.57
1038,403.53
1039,416.27
1040,419.11
1041,426.57
1042,383.79
1043,426.88
1044,407.22
1045,416.25
1046,422.60
1047,414.75
1048,404.30
1049,419.29
1050,373.37
1051,367.34
1052,345.09
1053,396.61
1054,382.13
1055,373.39
1056,389.59
1057,334.83
1058,410.53
1059,380.73
1060,389.89
1061,391.71
1062,390.20
1063,389.94
1064,371.68
1065,384.16
1066,387.78
1067,362.13
1068,382.82
1069,369.03
1070,361.17
1071,374.67
1072,361.77
1073,378.83
1074,286.39
1075,369.79
1076,372.20
1077,329.32
1078,329.64
1079,345.59
1080,319.56
1081,319.09
1082,331.15
1083,358.66
1084,343.71
1085,337.41
1086,348.15
1087,273.37
1088,379.41
1089,337.69
1090,296.06
1091,352.17
1092,368.24
1093,382.15
1094,376.37
1095,347.23
1096,259.63
1097,324.57
1098,354.52
1099,371.11
1100,370.52
1101,266.82
1102,321.42
1103,325.50
1104,369.66
1105,352.77
1106,364.98
1107,359.36
1108,268.88
1109,338.80
1110,328.61
1111,345.87
1112,324.08
1113,358.01
1114,377.71
1115,275.53
1116,308.60
1117,268.74
1118,225.91
1119,365.18
1120,343.45
1121,346.64
1122,369.40
1123,359.31
1124,373.61
1125,347.85
1126,338.32
1127,294.02
1128,366.35
1129,336.36
1130,345.97
1131,356.85
1132,365.15
1133,323.44
1134,367.93
1135,362.87
1136,371.95
1137,370.25
1138,364.83
1139,354.64
1140,359.43
1141,356.09
1142,340.22
1143,345.05
1144,358.00
1145,282.66
1146,351.41
1147,345.29
1148,344.69
1149,362.82
1150,345.79
1151,353.21
1152,364.48
1153,367.34
1154,363.94
1155,307.76
1156,386.83
1157,359.43
1158,263.26
1159,338.72
1160,367.39
1161,370.56
1162,372.02
1163,368.94
1164,371.98
1165,366.80
1166,367.34
1167,360.52
1168,369.88
1169,362.40
1170,358.01
1171,373.90
1172,336.75
1173,314.83
1174,246.21
1175,366.48
1176,334.44
1177,337.67
1178,358.41
1179,375.14
1180,325.88
1181,358.96
1182,351.77
1183,360.84
1184,350.98
1185,362.02
1186,348.72
1187,363.87
1188,372.26
1189,373.58
1190,360.88
1191,363.91
1192,413.36
1193,374.80
1194,424.02
1195,382.51
1196,428.60
1197,249.19
1198,360.36
1199,373.76
1200,379.98
1201,388.43
1202,402.27
1203,353.18
1204,377.29
1205,335.17
1206,375.67
1207,386.65
1208,345.02
1209,373.05
1210,348.94
1211,372.79
1212,431.74
1213,379.35
1214,371.79
1215,414.52
1216,416.58
1217,368.01
1218,380.27
1219,372.55
1220,361.18
1221,373.80
1222,385.59
1223,386.41
1224,383.14
1225,413.34
1226,365.20
1227,329.76
1228,312.32
1229,376.45
1230,377.82
1231,377.07
1232,419.08
1233,369.43
1234,378.96
1235,378.50
1236,378.04
1237,421.21
1238,357.37
1239,371.98
1240,334.57
1241,343.61
1242,366.70
1243,351.78
1244,368.45
1245,380.04
1246,365.31
